"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","HHDI","GROSSADJ","USD_CAP","A","2009",18624.0525457152,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2010",19242.7898755028,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2011",19394.281379418,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2012",19842.0680912546,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2013",20841.7471910034,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2014",21889.7964426235,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2015",22313.3932226,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2016",23663.6652875739,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2017",25424.300200146,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2018",26770.8843323278,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2019",29352.0618452706,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2020",30312.395698856,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2021",33481.565621258,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2022",35566.3783160125,
"EU","HHDI","GROSSADJ","USD_CAP","A","1999",15991.4468057592,
"EU","HHDI","GROSSADJ","USD_CAP","A","2000",17410.2751882117,
"EU","HHDI","GROSSADJ","USD_CAP","A","2001",18448.7381501862,
"EU","HHDI","GROSSADJ","USD_CAP","A","2002",19700.9384371422,
"EU","HHDI","GROSSADJ","USD_CAP","A","2003",19795.9689732199,
"EU","HHDI","GROSSADJ","USD_CAP","A","2004",20598.470958217,
"EU","HHDI","GROSSADJ","USD_CAP","A","2005",20840.3984060081,
"EU","HHDI","GROSSADJ","USD_CAP","A","2006",21876.9071682178,
"EU","HHDI","GROSSADJ","USD_CAP","A","2007",22921.5823054219,
"EU","HHDI","GROSSADJ","USD_CAP","A","2008",24077.573189391,
"EU","HHDI","GROSSADJ","USD_CAP","A","2009",24017.0422866279,
"EU","HHDI","GROSSADJ","USD_CAP","A","2010",24920.8619532326,
"EU","HHDI","GROSSADJ","USD_CAP","A","2011",25499.3421001139,
"EU","HHDI","GROSSADJ","USD_CAP","A","2012",25983.7820234232,
"EU","HHDI","GROSSADJ","USD_CAP","A","2013",26655.3646828601,
"EU","HHDI","GROSSADJ","USD_CAP","A","2014",27068.4866142437,
"EU","HHDI","GROSSADJ","USD_CAP","A","2015",27590.4329336809,
"EU","HHDI","GROSSADJ","USD_CAP","A","2016",29259.3193494579,
"EU","HHDI","GROSSADJ","USD_CAP","A","2017",30329.4274955638,
"EU","HHDI","GROSSADJ","USD_CAP","A","2018",31578.767877732,
"EU","HHDI","GROSSADJ","USD_CAP","A","2019",34183.4911266163,
"EU","HHDI","GROSSADJ","USD_CAP","A","2020",35413.585671362,
"EU","HHDI","GROSSADJ","USD_CAP","A","2021",38014.6637923161,
"EU","HHDI","GROSSADJ","USD_CAP","A","2022",41481.5442558879,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1995",19214.1374343455,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1996",19863.5146178243,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1997",20065.2068786771,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1998",20352.4600842101,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1999",21299.5238878629,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2000",22440.3084593121,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2001",23548.3782346631,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2002",24520.5793540153,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2003",25069.4567883094,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2004",25970.6299718957,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2005",26000.9486643346,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2006",26888.384826717,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2007",27926.6925221406,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2008",29093.3431272611,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2009",29154.2758610673,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2010",30699.0159253033,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2011",32107.4926965654,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2012",33295.3906269424,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2013",34223.5237813673,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2014",35129.6869781155,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2015",35492.3964342778,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2016",37893.9618546332,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2017",39272.160169021,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2018",41169.929876663,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2019",43667.3951487295,"E"
"DEU","HHDI","GROSSADJ","USD_CAP","A","2020",45546.8143483587,"E"
"DEU","HHDI","GROSSADJ","USD_CAP","A","2021",47696.2989337737,"E"
"DEU","HHDI","GROSSADJ","USD_CAP","A","2022",51565.5459460498,"E"
"EA","HHDI","GROSSADJ","USD_CAP","A","1999",18428.8090601237,
"EA","HHDI","GROSSADJ","USD_CAP","A","2000",20059.750205985,
"EA","HHDI","GROSSADJ","USD_CAP","A","2001",21176.1951973835,
"EA","HHDI","GROSSADJ","USD_CAP","A","2002",22496.942597852,
"EA","HHDI","GROSSADJ","USD_CAP","A","2003",22510.4987841986,
"EA","HHDI","GROSSADJ","USD_CAP","A","2004",23314.2187253462,
"EA","HHDI","GROSSADJ","USD_CAP","A","2005",23541.8345314105,
"EA","HHDI","GROSSADJ","USD_CAP","A","2006",24675.2996414969,
"EA","HHDI","GROSSADJ","USD_CAP","A","2007",25657.7288917532,
"EA","HHDI","GROSSADJ","USD_CAP","A","2008",26711.9922010685,
"EA","HHDI","GROSSADJ","USD_CAP","A","2009",26523.6140837636,
"EA","HHDI","GROSSADJ","USD_CAP","A","2010",27360.8368455903,
"EA","HHDI","GROSSADJ","USD_CAP","A","2011",27848.743579696,
"EA","HHDI","GROSSADJ","USD_CAP","A","2012",28241.2515183994,
"EA","HHDI","GROSSADJ","USD_CAP","A","2013",28984.0181712567,
"EA","HHDI","GROSSADJ","USD_CAP","A","2014",29391.5413448251,
"EA","HHDI","GROSSADJ","USD_CAP","A","2015",29887.5981443897,
"EA","HHDI","GROSSADJ","USD_CAP","A","2016",31591.4671171401,
"EA","HHDI","GROSSADJ","USD_CAP","A","2017",32617.5685563267,
"EA","HHDI","GROSSADJ","USD_CAP","A","2018",33861.8887889688,
"EA","HHDI","GROSSADJ","USD_CAP","A","2019",35733.5510221204,
"EA","HHDI","GROSSADJ","USD_CAP","A","2020",36190.4085067601,
"EA","HHDI","GROSSADJ","USD_CAP","A","2021",37288.3143061126,
"EA","HHDI","GROSSADJ","USD_CAP","A","2022",40526.7841701827,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1995",13175.5699945789,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1996",13481.4750435251,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1997",13801.0311985678,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1998",14460.9847158355,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1999",14579.7591875724,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2000",15718.1660902538,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2001",16984.9945579872,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2002",18883.2765550998,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2003",19469.89650083,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2004",20561.9320312566,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2005",20437.1711258471,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2006",22138.5595636558,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2007",22953.2972491327,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2008",24398.7280588958,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2009",24528.4136692182,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2010",22093.9007840312,"B"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2011",20129.6853964051,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2012",18709.57591201,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2013",18672.503699539,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2014",19285.9211138136,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2015",19593.3364027354,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2016",20285.6228963863,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2017",20670.2957565597,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2018",21202.7329067775,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2019",23315.6736739572,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2020",22903.6038920162,"E"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2021",25348.4239583807,"E"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2022",28038.5528625281,"E"
"PRT","HHDI","GROSSADJ","USD_CAP","A","1995",11886.1608629897,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1996",12309.9271296446,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1997",12844.9697207076,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1998",13481.4460932257,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1999",14470.6221038761,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2000",15892.2909037768,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2001",16482.0269513714,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2002",17407.1035140547,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2003",17600.273550578,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2004",18198.8736947465,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2005",18875.5536897191,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2006",19595.5420012027,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2007",20045.7209882472,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2008",20962.2802400836,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2009",21051.9711546696,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2010",21537.0109887109,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2011",20912.3618634376,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2012",20930.6640899089,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2013",21837.3289527493,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2014",21837.8311403924,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2015",22627.6719074527,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2016",23946.1021582873,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2017",24508.1272061617,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2018",26052.4691717238,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2019",28331.2058726444,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2020",28407.1548155955,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2021",30881.3459648225,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2022",34476.2023986249,"E"
"AUS","HHDI","GROSSADJ","USD_CAP","A","1970",3482.93682231374,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1971",3638.82703276423,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1972",3942.5601546706,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1973",4429.04868145276,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1974",4903.76549276614,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1975",5313.11535396233,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1976",5708.43325268696,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1977",6072.3155429066,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1978",6622.87941679923,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1979",7187.34715875379,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1980",8122.86054362509,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1981",9185.49911508152,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1982",9478.55536705596,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1983",10127.0329576367,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1984",10662.5637614768,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1985",11241.6948473109,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1986",11331.5959356836,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1987",11797.4135409016,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1988",12699.7757340748,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1989",13549.9894936855,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1990",13987.9226343398,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1991",14376.5583070359,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1992",14931.2566956283,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1993",15499.0772469623,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1994",16264.4566548847,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1995",16961.6226593311,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1996",17801.3632461556,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1997",18426.5389289638,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1998",19141.3790062134,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1999",20059.058240287,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2000",21667.9992527994,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2001",22779.0806840121,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2002",23526.635349014,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2003",24531.0144376266,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2004",26271.0433231459,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2005",26595.22177031,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2006",27711.1145064827,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2007",29554.052261806,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2008",31083.2352051585,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2009",30820.7779582325,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2010",32647.5954911665,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2011",33980.3453926096,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2012",33976.3122668157,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2013",36094.1026099549,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2014",36862.3140329967,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2015",37603.6821163183,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2016",39007.3942175604,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2017",38870.3827526006,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2018",39582.6592536671,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2019",40988.1080030285,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2020",43836.9469958851,
"AUS","HHDI","GROSSADJ","USD_CAP","A","2021",46837.597784101,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2003",6991.81584628309,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2004",7489.61579369953,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2005",8042.50818545142,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2006",9825.46759226152,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2007",10216.6989793122,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2008",11154.0929223531,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2009",11106.2665453651,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2010",11991.9529210667,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2011",13349.6207468583,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2012",14873.1477708486,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2013",15937.1450363971,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2014",16106.5385098906,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2015",15766.6425539399,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2016",16718.8996284211,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2017",16874.5754201648,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2018",17977.7554006773,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2019",19035.5530827265,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2020",21174.3648901695,
"CHL","HHDI","GROSSADJ","USD_CAP","A","2021",23060.5769437392,
"ITA","HHDI","GROSSADJ","USD_CAP","A","1995",17940.2712684138,
"ITA","HHDI","GROSSADJ","USD_CAP","A","1996",18437.3329246051,
"ITA","HHDI","GROSSADJ","USD_CAP","A","1997",18886.0304096765,
"ITA","HHDI","GROSSADJ","USD_CAP","A","1998",19165.3577945553,
"ITA","HHDI","GROSSADJ","USD_CAP","A","1999",19666.516564881,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2000",21232.0958771713,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2001",22059.414629337,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2002",23210.1145111271,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2003",23304.5936239579,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2004",23879.6773437289,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2005",23955.0169401138,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2006",25101.808692615,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2007",26196.4405994256,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2008",27278.6877676168,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2009",26555.0440001666,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2010",27566.6673069069,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2011",27784.7962102831,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2012",27218.0306179349,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2013",27534.8619152625,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2014",27373.3502265311,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2015",27712.0793376367,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2016",29475.2915213786,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2017",30434.9588642575,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2018",31469.1369477447,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2019",33745.2583595859,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2020",34295.8462814241,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2021",36973.6845937813,
"ITA","HHDI","GROSSADJ","USD_CAP","A","2022",40415.3471249197,
"CAN","HHDI","GROSSADJ","USD_CAP","A","1993",16631.0418207932,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","1994",16867.8709093133,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","1995",17172.7773737979,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","1996",17417.7965272208,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","1997",17919.3415865248,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","1998",18498.4785877636,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","1999",19270.5490306928,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2000",20296.1672692076,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2001",21295.0537270241,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2002",21851.1119692896,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2003",22332.9791381861,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2004",23443.3299884471,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2005",24238.4883796067,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2006",25244.3890971121,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2007",26587.7143310442,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2008",27380.749872019,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2009",27327.3240987425,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2010",28472.1042123442,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2011",29113.9573353463,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2012",29745.7205182537,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2013",30676.6738575626,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2014",31379.9103324558,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2015",31939.5398254005,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2016",33594.3016547497,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2017",34554.2781197279,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2018",35338.5167004454,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2019",35620.7211785082,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2020",38968.0444645386,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2021",41526.8156282435,"E"
"CAN","HHDI","GROSSADJ","USD_CAP","A","2022",43608.9176982206,"E"
"SVN","HHDI","GROSSADJ","USD_CAP","A","1995",10678.7284831812,
"SVN","HHDI","GROSSADJ","USD_CAP","A","1996",11210.9879795349,
"SVN","HHDI","GROSSADJ","USD_CAP","A","1997",12017.1062806506,
"SVN","HHDI","GROSSADJ","USD_CAP","A","1998",12382.2347928871,
"SVN","HHDI","GROSSADJ","USD_CAP","A","1999",12987.7122018762,
"SVN","HHDI","GROSSADJ","USD_CAP","A","2000",14352.9280116307,
"SVN","HHDI","GROSSADJ","USD_CAP","A","2001",15168.3406050755,
"SVN","HHDI","GROSSADJ","USD_CAP","A","2002",16515.2537814557,
"SVN","HHDI","GROSSADJ","USD_CAP","A","2003",16414.2273982335,
"SVN","HHDI","GROSSADJ","USD_CAP","A","2004",17190.952978419,
